home_team,away_team,1,x,2,winning_index,winning odd,year
Skënderbeu,Kastrioti,2.05,3.45,4.83,1,2.05,2018-2019
Teuta,Tirana,2,2.92,3.84,2,3.84,2018-2019
Kastrioti,Partizani,3.55,3.15,2.19,x,3.15,2018-2019
Flamurtari,Luftëtari,1.7,3.45,5.45,x,3.45,2018-2019
Partizani,Laçi,1.93,3.17,4.38,x,3.17,2018-2019
Luftëtari,Tirana,2.35,3.25,3.15,x,3.25,2018-2019
Kukësi,Teuta,2.14,2.93,4.02,x,2.93,2018-2019
Skënderbeu,Flamurtari,2.37,3.13,3.13,1,2.37,2018-2019
Flamurtari,Partizani,3.15,3.15,2.35,2,2.35,2018-2019
Teuta,Luftëtari,1.91,3.32,4.28,x,3.32,2018-2019
Tirana,Skënderbeu,2.5,3.2,3.6,1,2.5,2018-2019
Kastrioti,Flamurtari,2.06,3.03,4.1,1,2.06,2018-2019
Partizani,Tirana,2.57,3.4,2.7,1,2.57,2018-2019
Luftëtari,Kukësi,2.42,3.02,3.18,1,2.42,2018-2019
Tirana,Kastrioti,2,3.5,3.85,x,3.5,2018-2019
Teuta,Partizani,1.67,3.95,4.82,1,1.67,2018-2019
Laçi,Tirana,1.61,3.8,5.75,2,5.75,2018-2019
Kastrioti,Teuta,1.63,3.75,6.4,1,1.63,2018-2019
Partizani,Kukësi,2.25,3.4,3,x,3.4,2018-2019
Tirana,Flamurtari,1.73,3.42,4.5,1,1.73,2018-2019
Teuta,Laçi,1.45,4.2,8.1,1,1.45,2018-2019
Kukësi,Kastrioti,1.98,3.73,3.67,1,1.98,2018-2019
Luftëtari,Partizani,2.9,3.2,2.3,x,3.2,2018-2019
Partizani,Laçi,1.33,4.5,7.5,2,7.5,2017-2018
Kamza,Skënderbeu,4,3,1.95,x,3,2017-2018
Partizani,Kukësi,2.35,2.85,3.25,x,2.85,2017-2018
Kamza,Teuta,5.4,3.45,2.35,x,3.45,2017-2018
Kukësi,Skënderbeu,2.11,2.93,3.75,2,3.75,2017-2018
Partizani,Lushnja,1.31,4.5,11,x,4.5,2017-2018
Vllaznia,Flamurtari,2.3,2.99,3.1,x,2.99,2017-2018
Luftëtari,Kamza,1.9,2.95,3.9,2,3.9,2017-2018
Lushnja,Kukësi,6.6,3.6,1.59,2,1.59,2017-2018
Teuta,Partizani,3.13,2.77,2.52,2,2.52,2017-2018
Skënderbeu,Laçi,1.34,4.45,13,1,1.34,2017-2018
Kamza,Vllaznia,2.15,3.15,4.18,1,2.15,2017-2018
Laçi,Flamurtari,2.63,2.98,3.91,x,2.98,2017-2018
Kukësi,Teuta,1.66,3.53,5.75,1,1.66,2017-2018
Partizani,Luftëtari,1.41,3.75,7.5,1,1.41,2017-2018
Vllaznia,Partizani,3.4,3.3,2,2,2,2017-2018
Flamurtari,Kamza,1.85,3.1,3.85,1,1.85,2017-2018
Teuta,Skënderbeu,3.8,3.35,2.04,2,2.04,2017-2018
Laçi,Kamza,1.75,3.92,4.6,2,4.6,2017-2018
Luftëtari,Teuta,2.26,3.45,4.65,2,4.65,2017-2018
Kamza,Kukësi,2.85,2.86,2.5,x,2.86,2017-2018
Laçi,Partizani,3.35,2.76,2.38,1,3.35,2017-2018
Flamurtari,Skënderbeu,4.2,2.9,2.15,x,2.9,2017-2018
Luftëtari,Laçi,2.35,2.95,2.95,x,2.95,2017-2018
Kukësi,Partizani,2.25,3,4.8,2,4.8,2017-2018
Vllaznia,Lushnja,1.54,3.65,7.5,1,1.54,2017-2018
Vllaznia,Luftëtari,1.91,3.05,3.7,1,1.91,2017-2018
Partizani,Skënderbeu,4.25,2.95,2.2,x,2.95,2017-2018
Luftëtari,Flamurtari,3.5,2.95,2.1,x,2.95,2017-2018
Flamurtari,Vllaznia,2.05,3.1,3.25,1,2.05,2017-2018
Lushnja,Skënderbeu,8.37,4.49,1.35,2,1.35,2017-2018
Vllaznia,Kamza,2.4,3.2,3,1,2.4,2017-2018
Luftëtari,Partizani,3.9,3.1,1.91,1,3.9,2017-2018
Teuta,Kukësi,2.7,3,2.55,2,2.55,2017-2018
Laçi,Lushnja,1.34,4.25,9.25,1,1.34,2017-2018
Kukësi,Luftëtari,1.65,3.45,4.7,2,4.7,2017-2018
Partizani,Vllaznia,1.53,3.6,6,1,1.53,2017-2018
Kamza,Flamurtari,2.6,2.71,2.86,2,2.86,2017-2018
Kamza,Laçi,3.7,3,2.31,1,3.7,2017-2018
Teuta,Lushnja,1.45,4.2,7.5,x,4.2,2017-2018
Flamurtari,Partizani,2,2.85,3.93,1,2,2017-2018
Vllaznia,Kukësi,4,3.3,1.88,2,1.88,2017-2018
Partizani,Kamza,1.57,3.45,5.25,1,1.57,2017-2018
Skënderbeu,Flamurtari,2.03,3.76,6.27,1,2.03,2017-2018
Partizani,Kukësi,3.35,3.15,2.42,2,2.42,2017-2018
Vllaznia,Teuta,2.2,3.25,3.68,1,2.2,2017-2018
Kukësi,Laçi,1.83,3.3,4.1,1,1.83,2017-2018
Teuta,Flamurtari,2.57,3.18,2.57,x,3.18,2017-2018
Skënderbeu,Partizani,1.37,4.55,7.1,1,1.37,2017-2018
Laçi,Vllaznia,1.56,3.6,8.5,1,1.56,2017-2018
Kukësi,Skënderbeu,2.57,3.05,3.35,x,3.05,2017-2018
Kamza,Teuta,1.65,3.65,6.5,2,6.5,2017-2018
Partizani,Lushnja,1.25,5.13,14,1,1.25,2017-2018
Flamurtari,Luftëtari,1.8,3,5,2,5,2017-2018
Luftëtari,Kamza,2.09,3,3.4,1,2.09,2017-2018
Vllaznia,Flamurtari,2.85,3.05,2.63,1,2.85,2017-2018
Vllaznia,Partizani,3.8,3.4,2.5,x,3.4,2017-2018
Luftëtari,Kukësi,3.32,3.46,2.25,1,3.32,2017-2018
Lushnja,Laçi,6.7,4.15,1.62,2,1.62,2017-2018
Teuta,Skënderbeu,4.4,3.55,1.77,x,3.55,2017-2018
Flamurtari,Kamza,1.52,3.35,6.5,x,3.35,2017-2018
Lushnja,Teuta,5.85,4.95,1.4,2,1.4,2017-2018
Kukësi,Vllaznia,1.49,3.7,7,1,1.49,2017-2018
Partizani,Flamurtari,1.58,3.45,6.25,1,1.58,2017-2018
Kamza,Partizani,4.5,3.06,2,2,2,2017-2018
Luftëtari,Lushnja,1.16,6.5,18,1,1.16,2017-2018
Laçi,Partizani,2.14,3.24,3.15,2,3.15,2017-2018
Kamza,Kukësi,2.5,3.2,2.5,2,2.5,2017-2018
